ESTU_SNIES_PRGMACADEMICO,GRUPOREFERENCIA
3251,CIENCIAS AGROPECUARIAS 
3252,CONTADURÍA Y AFINES
3254,DERECHO
3255,DERECHO
3267,SALUD
3269,INGENIERÍA
3271,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3274,PSICOLOGÍA
3275,SALUD
3290,EDUCACIÓN
3306,SALUD
3312,EDUCACIÓN
3315,CIENCIAS NATURALES Y EXACTAS
3318,CIENCIAS SOCIALES
3319,CIENCIAS SOCIALES
3345,CIENCIAS NATURALES Y EXACTAS
3347,INGENIERÍA
3348,INGENIERÍA
3425,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3426,CIENCIAS NATURALES Y EXACTAS
3431,ADMINISTRACIÓN Y AFINES
3435,SALUD
3436,SALUD
3437,CONTADURÍA Y AFINES
3439,SALUD
3474,INGENIERÍA
3483,INGENIERÍA
3488,MEDICINA
3489,ENFERMERÍA
3518,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3521,INGENIERÍA
3527,ADMINISTRACIÓN Y AFINES
3529,MEDICINA
3549,INGENIERÍA
3554,CIENCIAS AGROPECUARIAS 
3560,CIENCIAS NATURALES Y EXACTAS
3563,SALUD
3568,BELLAS ARTES Y DISEÑO
3571,ADMINISTRACIÓN Y AFINES
3573,ENFERMERÍA
3602,ECONOMÍA
3607,CIENCIAS AGROPECUARIAS 
3608,CIENCIAS NATURALES Y EXACTAS
3612,SALUD
3615,ARQUITECTURA Y URBANISMO 
3617,INGENIERÍA
3618,INGENIERÍA
3636,CIENCIAS NATURALES Y EXACTAS
3638,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3642,ARQUITECTURA Y URBANISMO 
3643,INGENIERÍA
3661,ADMINISTRACIÓN Y AFINES
3662,INGENIERÍA
3678,INGENIERÍA
3679,PSICOLOGÍA
3680,ENFERMERÍA
3684,INGENIERÍA
3685,INGENIERÍA
3687,PSICOLOGÍA
3689,INGENIERÍA
3695,INGENIERÍA
3697,INGENIERÍA
3699,INGENIERÍA
3701,EDUCACIÓN
3707,CIENCIAS SOCIALES
3709,INGENIERÍA
3723,EDUCACIÓN
3725,ARQUITECTURA Y URBANISMO 
3728,ADMINISTRACIÓN Y AFINES
3729,RECREACIÓN Y DEPORTES
3731,INGENIERÍA
3778,BELLAS ARTES Y DISEÑO
3788,SALUD
3789,SALUD
